,Unnamed: 0,individual_id,taxon_canonical_name,study_id,timestamp,latitude,longitude,sex,common_name,wiki_url
218430,218430,36122553,Passerculus sandwichensis,36121409,2010-10-03 23:56:00.000,44.51092736,-67.5393239,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218431,218431,36122553,Passerculus sandwichensis,36121409,2010-10-04 00:09:00.000,44.417071,-67.911129,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218432,218432,36122556,Passerculus sandwichensis,36121409,2010-09-26 22:57:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218433,218433,36122556,Passerculus sandwichensis,36121409,2010-09-26 23:23:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218434,218434,36122556,Passerculus sandwichensis,36121409,2010-09-26 23:50:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218435,218435,36122559,Passerculus sandwichensis,36121409,2010-09-24 01:09:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218436,218436,36122559,Passerculus sandwichensis,36121409,2010-09-24 01:45:00.000,44.58923877,-67.01018252,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218437,218437,36122559,Passerculus sandwichensis,36121409,2010-09-24 02:22:00.000,44.609229,-67.264526,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218438,218438,36122559,Passerculus sandwichensis,36121409,2010-09-24 03:26:00.000,44.52307924,-67.59145721,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218439,218439,36122559,Passerculus sandwichensis,36121409,2010-09-24 04:29:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218440,218440,36122586,Passerculus sandwichensis,36121409,2010-10-04 00:19:00.000,44.54685343,-67.56030523,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218441,218441,36122586,Passerculus sandwichensis,36121409,2010-10-04 00:54:00.000,44.474267,-67.95402800000001,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218442,218442,36122562,Passerculus sandwichensis,36121409,2010-10-05 22:44:00.000,44.58333333,-66.75,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218443,218443,36122562,Passerculus sandwichensis,36121409,2010-10-05 23:13:00.000,44.60895784,-66.98222501,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
218444,218444,36122562,Passerculus sandwichensis,36121409,2010-10-05 23:42:00.000,44.644192,-67.190469,,Savannah sparrow,https://en.wikipedia.org/wiki/Savannah_sparrow
